10,LAID
10,CLON
8,NARK
12,FLAW
10,TICK
8,HALF
7,BRIE
9,LARN
4,STIR
6,LACE
7,KBAR
12,DOLE
7,DIRK
9,GIRD
4,CANE
8,BONY
14,EDIT
9,GOAL
12,AXIS
6,MAWN
6,MASH
11,CUTE
11,SNUG
8,WOGS
6,CONI
8,GIST
12,GAES
7,KANE
11,LOPE
9,CURL
7,AWNY
11,LOTA
6,CUPS
6,LOPE
12,PARD
9,OCHE
8,DUBS
10,RAMP
12,PHAT
9,HOED
8,WINE
9,DOPY
11,NOMS
13,SOIL
7,PANT
8,GREY
8,WINS
8,COUP
8,PINS
9,WACK
8,CALS
6,VUGH
9,OGAM
10,HYLA
9,GRAT
13,BRAS
10,ONES
9,JARS
5,ANTS
9,ROAM
8,CEIL
6,SONG
9,CALO
8,DHOW
10,GLOM
9,GYPO
10,FIST
11,YAGI
10,ILKS
8,ALBS
7,THEM
7,CRIB
8,PURI
10,SHAY
4,NEIF
9,FLUE
11,MORA
6,LOCH
10,DURE
9,TUNA
9,FORT
8,COZY
8,WARP
12,MAGS
10,SOYA
11,GUNS
7,BUND
11,YODS
10,OPTS
10,LADY
9,KHIS
8,FAUN
8,TORC
8,TROU
9,PLOW
11,LAHS
8,HERN
7,WORD
10,SALP
8,ANEW
9,EVIL
10,SUNG
7,GROK
9,RYUS
8,SNYE
7,JUKE
8,HUMS
8,SORT
7,GYPO
6,FORT
12,SUNG
9,LUCK
7,LAGS
9,UPON
5,DASH
10,CHIP
11,IDEA
8,UREA
8,GOWK
8,SNOB
5,GRUM
10,MINT
7,MYCS
11,SCUD
12,ALTO
8,ICKY
13,HODS
8,DEFT
10,OYEZ
8,HUMP
11,JUST
9,MENU
9,PUMA
10,TOPE
8,REFT
8,RUSH
7,BOAT
9,DEIL
6,JOWS
9,COIR
14,CERT
9,JIRD
10,VIEW
10,PULS
9,ILKS
5,DYES
12,PALY
11,TIED
13,PERT
5,PROS
13,ROWS
7,SHOW
9,EAUX
7,CRIB
4,LACE
9,VIEW
9,DOSH
9,OARS
11,YAGS
8,GATS
11,TORA
7,GAPS
8,ORGS
8,MESH
8,PION
7,BOLE
10,TAKE
8,LUBE
8,MESH
8,DOLS
11,MAPS
9,MERL
12,BASK
7,PANS
9,PISH
12,MAID
9,CLEF
7,SULK
7,VOID
8,OATH
9,RUSH
7,WAVE
6,DINE
7,KAPH
7,BOXY
10,GORM
11,UKES
11,CHON
10,NOGS
5,GUYS
5,MYCS
8,GYBE
12,VIBE
8,GILD
9,KEPT
8,CLIT
8,TONY
7,HIDE
9,TEAR
7,TAEL
13,SUPE
7,LIVE
9,JAUK
9,MALT
13,GALS
7,DRUM
7,FUZE
9,HOWF
13,VLEI
5,CALF
10,YERK
11,AMIN
11,NOIR
11,MARE
8,CAMI
10,BANS
4,CROW
7,HYPE
9,TORI
8,COVE
8,FORK
6,BYTE
11,TERM
9,MERK
10,UNDY
8,BUNG
7,UGHS
11,TUGS
8,GYBE
7,SORI
7,NODS
13,LOBS
9,FURY
14,SEAL
9,BRUT
10,BARF
9,MORS
5,WARY
7,HURT
4,TOAD
16,GEAR
6,MISO
8,SPAT
3,TYNE
9,DEFY
11,WEKA
10,LIMB
6,PINA
10,UTAS
1,FLOE
9,DOGY
4,TERN
7,MIEN
7,ENOW
10,VIEW
13,GAST
11,JIBE
9,TIDE
7,HALO
8,YOLK
14,BALE
8,SPIV
9,BREW
10,FAKE
12,SLOW
9,YOBS
11,YONI
11,CORN
10,OHED
9,GELS
12,TAOS
9,EBON
10,AIDS
7,NIGH
6,VENT
7,LOWN
9,PIAN
8,DOLS
8,LOST
7,CLOP
5,VARS
11,ADZE
5,FEUS
10,MART
15,WADE
12,SODA
10,BOAS
8,SHAW
12,WOTS
16,HETS
7,DROP
7,SAND
10,NARD
10,BEAK
6,WHEN
6,GENT
6,SWAY
8,INFO
6,LURK
9,HECK
6,DIRT
10,UNDE
10,MODI
10,HAZE
9,COUP
7,NYAH
9,DAGS
4,HOMS
9,GELT
8,SKIP
8,PLOT
14,DITE
11,CAME
7,SUED
8,DUKE
8,TWIG
6,RAZE
8,FLEX
9,SORB
12,LARD
8,CLON
9,DORE
7,VITA
7,OPES
12,EGAD
10,SWIG
10,BERM
11,SAMP
10,YOND
3,MICK
10,TUMP
10,JARL
6,RICK
7,DUNS
11,YAGS
10,SOAP
10,VEIL
3,WAIN
9,NIGH
7,FATS
7,DIRL
7,DINO
16,CONE
6,DOLT
9,LUBE
13,ONUS
12,DOSH
8,LIBS
15,ROVE
6,DIPS
7,SEIF
10,GOBY
9,HATE
9,COIF
8,DRIB
10,SAGE
9,WARE
11,SUNK
4,RHUS
